========
Segment 0, number of frames = 41853, viterbi-score = 212271.426068
Printing random variables from (P,C,E)=(1,41852,0) sections
Ptn-0 P: G(0)=1,P1(0)=6,P2(0)=14,Z(0)=0
Ptn-114 C: G(114)=2,P1(114)=6,P2(114)=14,Z(114)=0
Ptn-115 C: G(115)=2,P1(115)=6,P2(115)=14,Z(115)=0
Ptn-116 C: G(116)=2,P1(116)=6,P2(116)=14,Z(116)=0
Ptn-117 C: G(117)=2,P1(117)=6,P2(117)=14,Z(117)=0
Ptn-118 C: G(118)=2,P1(118)=6,P2(118)=14,Z(118)=0
Ptn-119 C: G(119)=2,P1(119)=6,P2(119)=14,Z(119)=0
Ptn-120 C: G(120)=2,P1(120)=6,P2(120)=14,Z(120)=0
Ptn-121 C: G(121)=2,P1(121)=6,P2(121)=14,Z(121)=0
Ptn-122 C: G(122)=2,P1(122)=6,P2(122)=14,Z(122)=0
Ptn-123 C: G(123)=2,P1(123)=6,P2(123)=14,Z(123)=0
Ptn-124 C: G(124)=2,P1(124)=6,P2(124)=14,Z(124)=0
Ptn-125 C: G(125)=2,P1(125)=6,P2(125)=14,Z(125)=0
Ptn-126 C: G(126)=2,P1(126)=6,P2(126)=14,Z(126)=0
Ptn-127 C: G(127)=2,P1(127)=6,P2(127)=14,Z(127)=0
Ptn-128 C: G(128)=3,P1(128)=6,P2(128)=14,Z(128)=0
Ptn-129 C: G(129)=3,P1(129)=6,P2(129)=14,Z(129)=0
Ptn-130 C: G(130)=3,P1(130)=6,P2(130)=14,Z(130)=0
Ptn-131 C: G(131)=3,P1(131)=6,P2(131)=14,Z(131)=0
Ptn-132 C: G(132)=2,P1(132)=6,P2(132)=14,Z(132)=0
Ptn-133 C: G(133)=2,P1(133)=6,P2(133)=14,Z(133)=0
Ptn-134 C: G(134)=2,P1(134)=6,P2(134)=14,Z(134)=0
Ptn-135 C: G(135)=2,P1(135)=6,P2(135)=14,Z(135)=0
Ptn-136 C: G(136)=2,P1(136)=6,P2(136)=14,Z(136)=0
Ptn-137 C: G(137)=2,P1(137)=6,P2(137)=14,Z(137)=0
Ptn-138 C: G(138)=2,P1(138)=6,P2(138)=14,Z(138)=0
Ptn-139 C: G(139)=2,P1(139)=6,P2(139)=14,Z(139)=0
Ptn-140 C: G(140)=2,P1(140)=6,P2(140)=14,Z(140)=0
Ptn-141 C: G(141)=2,P1(141)=6,P2(141)=14,Z(141)=0
Ptn-142 C: G(142)=2,P1(142)=6,P2(142)=14,Z(142)=0
Ptn-143 C: G(143)=2,P1(143)=6,P2(143)=14,Z(143)=0
Ptn-144 C: G(144)=2,P1(144)=6,P2(144)=14,Z(144)=0
Ptn-145 C: G(145)=2,P1(145)=6,P2(145)=14,Z(145)=0
Ptn-146 C: G(146)=2,P1(146)=6,P2(146)=14,Z(146)=0
Ptn-147 C: G(147)=2,P1(147)=6,P2(147)=14,Z(147)=0
Ptn-148 C: G(148)=2,P1(148)=6,P2(148)=14,Z(148)=0
Ptn-149 C: G(149)=2,P1(149)=6,P2(149)=14,Z(149)=0
Ptn-150 C: G(150)=2,P1(150)=6,P2(150)=14,Z(150)=0
Ptn-151 C: G(151)=2,P1(151)=6,P2(151)=14,Z(151)=0
Ptn-152 C: G(152)=2,P1(152)=6,P2(152)=14,Z(152)=0
Ptn-153 C: G(153)=2,P1(153)=6,P2(153)=14,Z(153)=0
Ptn-154 C: G(154)=2,P1(154)=6,P2(154)=14,Z(154)=0
Ptn-155 C: G(155)=2,P1(155)=6,P2(155)=14,Z(155)=0
Ptn-156 C: G(156)=2,P1(156)=6,P2(156)=14,Z(156)=0
Ptn-157 C: G(157)=2,P1(157)=6,P2(157)=14,Z(157)=0
Ptn-158 C: G(158)=2,P1(158)=6,P2(158)=14,Z(158)=0
Ptn-159 C: G(159)=2,P1(159)=6,P2(159)=14,Z(159)=0
Ptn-160 C: G(160)=2,P1(160)=6,P2(160)=14,Z(160)=0
Ptn-161 C: G(161)=2,P1(161)=6,P2(161)=14,Z(161)=0
Ptn-162 C: G(162)=2,P1(162)=6,P2(162)=14,Z(162)=0
Ptn-163 C: G(163)=2,P1(163)=6,P2(163)=14,Z(163)=0
Ptn-164 C: G(164)=2,P1(164)=6,P2(164)=14,Z(164)=0
Ptn-165 C: G(165)=2,P1(165)=6,P2(165)=14,Z(165)=0
Ptn-166 C: G(166)=2,P1(166)=6,P2(166)=14,Z(166)=0
Ptn-167 C: G(167)=2,P1(167)=6,P2(167)=14,Z(167)=0
Ptn-168 C: G(168)=2,P1(168)=6,P2(168)=14,Z(168)=0
Ptn-169 C: G(169)=2,P1(169)=6,P2(169)=14,Z(169)=0
Ptn-170 C: G(170)=2,P1(170)=6,P2(170)=14,Z(170)=0
Ptn-171 C: G(171)=2,P1(171)=6,P2(171)=14,Z(171)=0
Ptn-172 C: G(172)=2,P1(172)=6,P2(172)=14,Z(172)=0
Ptn-173 C: G(173)=2,P1(173)=6,P2(173)=14,Z(173)=0
Ptn-174 C: G(174)=2,P1(174)=6,P2(174)=14,Z(174)=0
Ptn-175 C: G(175)=2,P1(175)=6,P2(175)=14,Z(175)=0
Ptn-176 C: G(176)=2,P1(176)=6,P2(176)=14,Z(176)=0
Ptn-177 C: G(177)=2,P1(177)=6,P2(177)=14,Z(177)=0
Ptn-178 C: G(178)=2,P1(178)=6,P2(178)=14,Z(178)=0
Ptn-179 C: G(179)=2,P1(179)=6,P2(179)=14,Z(179)=0
Ptn-180 C: G(180)=2,P1(180)=6,P2(180)=14,Z(180)=0
Ptn-181 C: G(181)=2,P1(181)=6,P2(181)=14,Z(181)=0
Ptn-182 C: G(182)=2,P1(182)=6,P2(182)=14,Z(182)=0
Ptn-183 C: G(183)=2,P1(183)=6,P2(183)=14,Z(183)=0
Ptn-184 C: G(184)=2,P1(184)=6,P2(184)=14,Z(184)=0
Ptn-185 C: G(185)=2,P1(185)=6,P2(185)=14,Z(185)=0
Ptn-186 C: G(186)=2,P1(186)=6,P2(186)=14,Z(186)=0
Ptn-187 C: G(187)=2,P1(187)=6,P2(187)=14,Z(187)=0
Ptn-188 C: G(188)=2,P1(188)=6,P2(188)=14,Z(188)=0
Ptn-189 C: G(189)=2,P1(189)=6,P2(189)=14,Z(189)=0
Ptn-190 C: G(190)=2,P1(190)=6,P2(190)=14,Z(190)=0
Ptn-191 C: G(191)=2,P1(191)=6,P2(191)=14,Z(191)=0
Ptn-192 C: G(192)=2,P1(192)=6,P2(192)=14,Z(192)=0
Ptn-193 C: G(193)=2,P1(193)=6,P2(193)=14,Z(193)=0
Ptn-194 C: G(194)=2,P1(194)=6,P2(194)=14,Z(194)=0
Ptn-195 C: G(195)=2,P1(195)=6,P2(195)=14,Z(195)=0
Ptn-196 C: G(196)=2,P1(196)=6,P2(196)=14,Z(196)=0
Ptn-197 C: G(197)=3,P1(197)=6,P2(197)=14,Z(197)=0
Ptn-198 C: G(198)=2,P1(198)=6,P2(198)=14,Z(198)=0
Ptn-199 C: G(199)=2,P1(199)=6,P2(199)=14,Z(199)=0
Ptn-200 C: G(200)=2,P1(200)=6,P2(200)=14,Z(200)=0
Ptn-201 C: G(201)=3,P1(201)=6,P2(201)=14,Z(201)=0
Ptn-202 C: G(202)=3,P1(202)=6,P2(202)=14,Z(202)=0
Ptn-203 C: G(203)=3,P1(203)=6,P2(203)=14,Z(203)=0
Ptn-204 C: G(204)=4,P1(204)=6,P2(204)=14,Z(204)=0
Ptn-205 C: G(205)=4,P1(205)=6,P2(205)=14,Z(205)=0
Ptn-206 C: G(206)=4,P1(206)=6,P2(206)=14,Z(206)=0
Ptn-207 C: G(207)=4,P1(207)=6,P2(207)=14,Z(207)=0
Ptn-208 C: G(208)=4,P1(208)=6,P2(208)=14,Z(208)=0
Ptn-209 C: G(209)=4,P1(209)=6,P2(209)=14,Z(209)=0
Ptn-210 C: G(210)=4,P1(210)=6,P2(210)=14,Z(210)=0
Ptn-211 C: G(211)=4,P1(211)=6,P2(211)=14,Z(211)=0
Ptn-212 C: G(212)=4,P1(212)=6,P2(212)=14,Z(212)=0
Ptn-213 C: G(213)=4,P1(213)=6,P2(213)=14,Z(213)=0
Ptn-214 C: G(214)=4,P1(214)=6,P2(214)=14,Z(214)=0
Ptn-215 C: G(215)=3,P1(215)=6,P2(215)=14,Z(215)=0
Ptn-216 C: G(216)=3,P1(216)=6,P2(216)=14,Z(216)=0
Ptn-217 C: G(217)=3,P1(217)=6,P2(217)=14,Z(217)=0
Ptn-218 C: G(218)=3,P1(218)=6,P2(218)=14,Z(218)=0
Ptn-219 C: G(219)=2,P1(219)=6,P2(219)=14,Z(219)=0
Ptn-220 C: G(220)=2,P1(220)=6,P2(220)=14,Z(220)=0
Ptn-221 C: G(221)=2,P1(221)=6,P2(221)=14,Z(221)=0
Ptn-222 C: G(222)=2,P1(222)=6,P2(222)=14,Z(222)=0
Ptn-223 C: G(223)=2,P1(223)=6,P2(223)=14,Z(223)=0
Ptn-224 C: G(224)=2,P1(224)=6,P2(224)=14,Z(224)=0
Ptn-225 C: G(225)=2,P1(225)=6,P2(225)=14,Z(225)=0
Ptn-226 C: G(226)=2,P1(226)=6,P2(226)=14,Z(226)=0
Ptn-227 C: G(227)=2,P1(227)=6,P2(227)=14,Z(227)=0
Ptn-228 C: G(228)=2,P1(228)=6,P2(228)=14,Z(228)=0
Ptn-229 C: G(229)=2,P1(229)=6,P2(229)=14,Z(229)=0
Ptn-230 C: G(230)=2,P1(230)=6,P2(230)=14,Z(230)=0
Ptn-231 C: G(231)=2,P1(231)=6,P2(231)=14,Z(231)=0
Ptn-232 C: G(232)=2,P1(232)=6,P2(232)=14,Z(232)=0
Ptn-233 C: G(233)=2,P1(233)=6,P2(233)=14,Z(233)=0
Ptn-234 C: G(234)=2,P1(234)=6,P2(234)=14,Z(234)=0
Ptn-235 C: G(235)=2,P1(235)=6,P2(235)=14,Z(235)=0
Ptn-236 C: G(236)=2,P1(236)=6,P2(236)=14,Z(236)=0
Ptn-237 C: G(237)=2,P1(237)=6,P2(237)=14,Z(237)=0
Ptn-238 C: G(238)=2,P1(238)=6,P2(238)=14,Z(238)=0
Ptn-239 C: G(239)=2,P1(239)=6,P2(239)=14,Z(239)=0
Ptn-240 C: G(240)=2,P1(240)=6,P2(240)=14,Z(240)=0
Ptn-241 C: G(241)=2,P1(241)=6,P2(241)=14,Z(241)=0
Ptn-242 C: G(242)=2,P1(242)=6,P2(242)=14,Z(242)=0
Ptn-243 C: G(243)=2,P1(243)=6,P2(243)=14,Z(243)=0
Ptn-244 C: G(244)=2,P1(244)=6,P2(244)=14,Z(244)=0
Ptn-245 C: G(245)=2,P1(245)=6,P2(245)=14,Z(245)=0
Ptn-246 C: G(246)=2,P1(246)=6,P2(246)=14,Z(246)=0
Ptn-247 C: G(247)=2,P1(247)=6,P2(247)=14,Z(247)=0
Ptn-248 C: G(248)=2,P1(248)=6,P2(248)=14,Z(248)=0
Ptn-249 C: G(249)=2,P1(249)=6,P2(249)=14,Z(249)=0
Ptn-250 C: G(250)=2,P1(250)=6,P2(250)=14,Z(250)=0
Ptn-251 C: G(251)=2,P1(251)=6,P2(251)=14,Z(251)=0
Ptn-252 C: G(252)=2,P1(252)=6,P2(252)=14,Z(252)=0
Ptn-253 C: G(253)=2,P1(253)=6,P2(253)=14,Z(253)=0
Ptn-254 C: G(254)=2,P1(254)=6,P2(254)=14,Z(254)=0
Ptn-255 C: G(255)=2,P1(255)=6,P2(255)=14,Z(255)=0
Ptn-256 C: G(256)=2,P1(256)=6,P2(256)=14,Z(256)=0
Ptn-257 C: G(257)=2,P1(257)=6,P2(257)=14,Z(257)=0
Ptn-258 C: G(258)=2,P1(258)=6,P2(258)=14,Z(258)=0
Ptn-259 C: G(259)=2,P1(259)=6,P2(259)=14,Z(259)=0
Ptn-260 C: G(260)=2,P1(260)=6,P2(260)=14,Z(260)=0
Ptn-261 C: G(261)=2,P1(261)=6,P2(261)=14,Z(261)=0
Ptn-262 C: G(262)=2,P1(262)=6,P2(262)=14,Z(262)=0
Ptn-263 C: G(263)=2,P1(263)=6,P2(263)=14,Z(263)=0
Ptn-264 C: G(264)=2,P1(264)=6,P2(264)=14,Z(264)=0
Ptn-265 C: G(265)=2,P1(265)=6,P2(265)=14,Z(265)=0
Ptn-266 C: G(266)=2,P1(266)=6,P2(266)=14,Z(266)=0
Ptn-267 C: G(267)=2,P1(267)=6,P2(267)=14,Z(267)=0
Ptn-268 C: G(268)=2,P1(268)=6,P2(268)=14,Z(268)=0
Ptn-269 C: G(269)=2,P1(269)=6,P2(269)=14,Z(269)=0
Ptn-270 C: G(270)=2,P1(270)=6,P2(270)=14,Z(270)=0
Ptn-271 C: G(271)=2,P1(271)=6,P2(271)=14,Z(271)=0
Ptn-272 C: G(272)=2,P1(272)=6,P2(272)=14,Z(272)=0
Ptn-273 C: G(273)=2,P1(273)=6,P2(273)=14,Z(273)=0
Ptn-274 C: G(274)=4,P1(274)=6,P2(274)=14,Z(274)=0
Ptn-275 C: G(275)=4,P1(275)=6,P2(275)=14,Z(275)=0
Ptn-276 C: G(276)=4,P1(276)=6,P2(276)=14,Z(276)=0
Ptn-277 C: G(277)=4,P1(277)=6,P2(277)=14,Z(277)=0
Ptn-278 C: G(278)=4,P1(278)=6,P2(278)=14,Z(278)=0
Ptn-279 C: G(279)=4,P1(279)=6,P2(279)=14,Z(279)=0
Ptn-280 C: G(280)=4,P1(280)=6,P2(280)=14,Z(280)=0
Ptn-281 C: G(281)=4,P1(281)=6,P2(281)=14,Z(281)=0
Ptn-282 C: G(282)=4,P1(282)=6,P2(282)=14,Z(282)=0
Ptn-283 C: G(283)=2,P1(283)=6,P2(283)=14,Z(283)=0
Ptn-284 C: G(284)=2,P1(284)=6,P2(284)=14,Z(284)=0
Ptn-285 C: G(285)=2,P1(285)=6,P2(285)=14,Z(285)=0
Ptn-286 C: G(286)=2,P1(286)=6,P2(286)=14,Z(286)=0
Ptn-287 C: G(287)=2,P1(287)=6,P2(287)=14,Z(287)=0
Ptn-288 C: G(288)=2,P1(288)=6,P2(288)=14,Z(288)=0
Ptn-289 C: G(289)=2,P1(289)=6,P2(289)=14,Z(289)=0
Ptn-290 C: G(290)=2,P1(290)=6,P2(290)=14,Z(290)=0
Ptn-291 C: G(291)=2,P1(291)=6,P2(291)=14,Z(291)=0
Ptn-292 C: G(292)=2,P1(292)=6,P2(292)=14,Z(292)=0
Ptn-293 C: G(293)=2,P1(293)=6,P2(293)=14,Z(293)=0
Ptn-294 C: G(294)=2,P1(294)=6,P2(294)=14,Z(294)=0
Ptn-295 C: G(295)=2,P1(295)=6,P2(295)=14,Z(295)=0
Ptn-296 C: G(296)=2,P1(296)=6,P2(296)=14,Z(296)=0
Ptn-297 C: G(297)=2,P1(297)=6,P2(297)=14,Z(297)=0
Ptn-298 C: G(298)=2,P1(298)=6,P2(298)=14,Z(298)=0
Ptn-299 C: G(299)=2,P1(299)=6,P2(299)=14,Z(299)=0
Ptn-300 C: G(300)=2,P1(300)=6,P2(300)=14,Z(300)=0
Ptn-301 C: G(301)=2,P1(301)=6,P2(301)=14,Z(301)=0
Ptn-302 C: G(302)=2,P1(302)=6,P2(302)=14,Z(302)=0
Ptn-303 C: G(303)=2,P1(303)=6,P2(303)=14,Z(303)=0
Ptn-304 C: G(304)=2,P1(304)=6,P2(304)=14,Z(304)=0
Ptn-305 C: G(305)=2,P1(305)=6,P2(305)=14,Z(305)=0
Ptn-306 C: G(306)=2,P1(306)=6,P2(306)=14,Z(306)=0
Ptn-307 C: G(307)=2,P1(307)=6,P2(307)=14,Z(307)=0
Ptn-308 C: G(308)=2,P1(308)=6,P2(308)=14,Z(308)=0
Ptn-309 C: G(309)=2,P1(309)=6,P2(309)=14,Z(309)=0
Ptn-310 C: G(310)=2,P1(310)=6,P2(310)=14,Z(310)=0
Ptn-311 C: G(311)=2,P1(311)=6,P2(311)=14,Z(311)=0
Ptn-312 C: G(312)=2,P1(312)=6,P2(312)=14,Z(312)=0
Ptn-313 C: G(313)=2,P1(313)=6,P2(313)=14,Z(313)=0
Ptn-314 C: G(314)=8,P1(314)=6,P2(314)=14,Z(314)=0
Ptn-315 C: G(315)=2,P1(315)=6,P2(315)=14,Z(315)=0
Ptn-316 C: G(316)=2,P1(316)=6,P2(316)=14,Z(316)=0
Ptn-317 C: G(317)=2,P1(317)=6,P2(317)=14,Z(317)=0
Ptn-318 C: G(318)=2,P1(318)=6,P2(318)=14,Z(318)=0
Ptn-319 C: G(319)=2,P1(319)=6,P2(319)=14,Z(319)=0
Ptn-320 C: G(320)=2,P1(320)=6,P2(320)=14,Z(320)=0
Ptn-321 C: G(321)=2,P1(321)=6,P2(321)=14,Z(321)=0
Ptn-322 C: G(322)=2,P1(322)=6,P2(322)=14,Z(322)=0
Ptn-323 C: G(323)=2,P1(323)=6,P2(323)=14,Z(323)=0
Ptn-324 C: G(324)=2,P1(324)=6,P2(324)=14,Z(324)=0
Ptn-325 C: G(325)=2,P1(325)=6,P2(325)=14,Z(325)=0
Ptn-326 C: G(326)=10,P1(326)=6,P2(326)=14,Z(326)=0
Ptn-327 C: G(327)=10,P1(327)=6,P2(327)=14,Z(327)=0
Ptn-328 C: G(328)=2,P1(328)=6,P2(328)=14,Z(328)=0
Ptn-329 C: G(329)=2,P1(329)=6,P2(329)=14,Z(329)=0
Ptn-330 C: G(330)=2,P1(330)=6,P2(330)=14,Z(330)=0
Ptn-331 C: G(331)=2,P1(331)=6,P2(331)=14,Z(331)=0
Ptn-332 C: G(332)=2,P1(332)=6,P2(332)=14,Z(332)=0
Ptn-333 C: G(333)=2,P1(333)=6,P2(333)=14,Z(333)=0
Ptn-334 C: G(334)=2,P1(334)=6,P2(334)=14,Z(334)=0
Ptn-335 C: G(335)=2,P1(335)=6,P2(335)=14,Z(335)=0
Ptn-336 C: G(336)=2,P1(336)=6,P2(336)=14,Z(336)=0
Ptn-337 C: G(337)=2,P1(337)=6,P2(337)=14,Z(337)=0
Ptn-338 C: G(338)=2,P1(338)=6,P2(338)=14,Z(338)=0
Ptn-339 C: G(339)=2,P1(339)=6,P2(339)=14,Z(339)=0
Ptn-340 C: G(340)=2,P1(340)=6,P2(340)=14,Z(340)=0
Ptn-341 C: G(341)=2,P1(341)=6,P2(341)=14,Z(341)=0
Ptn-342 C: G(342)=2,P1(342)=6,P2(342)=14,Z(342)=0
Ptn-343 C: G(343)=2,P1(343)=6,P2(343)=14,Z(343)=0
Ptn-344 C: G(344)=2,P1(344)=6,P2(344)=14,Z(344)=0
Ptn-345 C: G(345)=2,P1(345)=6,P2(345)=14,Z(345)=0
