========
Segment 0, number of frames = 41853, viterbi-score = 332543.856961
Printing random variables from (P,C,E)=(1,41852,0) sections
Ptn-0 P: G(0)=1,Z(0)=1
Ptn-55 C: G(55)=4,Z(55)=4
Ptn-56 C: G(56)=4,Z(56)=4
Ptn-57 C: G(57)=4,Z(57)=4
Ptn-58 C: G(58)=4,Z(58)=4
Ptn-59 C: G(59)=4,Z(59)=4
Ptn-60 C: G(60)=4,Z(60)=4
Ptn-61 C: G(61)=4,Z(61)=4
Ptn-62 C: G(62)=4,Z(62)=4
Ptn-63 C: G(63)=10,Z(63)=2
Ptn-64 C: G(64)=10,Z(64)=2
Ptn-65 C: G(65)=3,Z(65)=1
Ptn-66 C: G(66)=2,Z(66)=1
Ptn-67 C: G(67)=2,Z(67)=1
Ptn-68 C: G(68)=5,Z(68)=1
Ptn-69 C: G(69)=5,Z(69)=1
Ptn-70 C: G(70)=4,Z(70)=1
Ptn-71 C: G(71)=4,Z(71)=1
Ptn-72 C: G(72)=3,Z(72)=1
Ptn-73 C: G(73)=3,Z(73)=0
Ptn-74 C: G(74)=3,Z(74)=0
Ptn-75 C: G(75)=5,Z(75)=1
Ptn-76 C: G(76)=5,Z(76)=1
Ptn-77 C: G(77)=5,Z(77)=1
Ptn-78 C: G(78)=4,Z(78)=1
Ptn-79 C: G(79)=5,Z(79)=1
Ptn-80 C: G(80)=5,Z(80)=1
Ptn-81 C: G(81)=5,Z(81)=1
Ptn-82 C: G(82)=4,Z(82)=1
Ptn-83 C: G(83)=4,Z(83)=1
Ptn-84 C: G(84)=4,Z(84)=1
Ptn-85 C: G(85)=4,Z(85)=1
Ptn-86 C: G(86)=4,Z(86)=1
Ptn-87 C: G(87)=4,Z(87)=1
Ptn-88 C: G(88)=4,Z(88)=1
Ptn-89 C: G(89)=4,Z(89)=1
Ptn-90 C: G(90)=4,Z(90)=1
Ptn-91 C: G(91)=4,Z(91)=1
Ptn-92 C: G(92)=4,Z(92)=1
Ptn-93 C: G(93)=4,Z(93)=1
Ptn-94 C: G(94)=4,Z(94)=4
Ptn-95 C: G(95)=4,Z(95)=4
Ptn-96 C: G(96)=4,Z(96)=4
Ptn-97 C: G(97)=4,Z(97)=4
Ptn-98 C: G(98)=4,Z(98)=4
Ptn-99 C: G(99)=4,Z(99)=4
Ptn-100 C: G(100)=4,Z(100)=4
Ptn-101 C: G(101)=4,Z(101)=4
Ptn-102 C: G(102)=4,Z(102)=4
Ptn-103 C: G(103)=4,Z(103)=4
Ptn-104 C: G(104)=4,Z(104)=4
Ptn-105 C: G(105)=1,Z(105)=4
Ptn-106 C: G(106)=1,Z(106)=4
Ptn-107 C: G(107)=1,Z(107)=4
Ptn-108 C: G(108)=4,Z(108)=4
Ptn-109 C: G(109)=4,Z(109)=4
Ptn-110 C: G(110)=4,Z(110)=4
Ptn-111 C: G(111)=4,Z(111)=4
Ptn-112 C: G(112)=4,Z(112)=4
Ptn-113 C: G(113)=4,Z(113)=4
Ptn-114 C: G(114)=4,Z(114)=4
Ptn-115 C: G(115)=4,Z(115)=4
Ptn-116 C: G(116)=4,Z(116)=4
Ptn-117 C: G(117)=4,Z(117)=4
Ptn-118 C: G(118)=4,Z(118)=4
Ptn-119 C: G(119)=4,Z(119)=4
Ptn-120 C: G(120)=4,Z(120)=2
Ptn-121 C: G(121)=4,Z(121)=2
Ptn-122 C: G(122)=4,Z(122)=2
Ptn-123 C: G(123)=4,Z(123)=2
Ptn-124 C: G(124)=4,Z(124)=2
Ptn-125 C: G(125)=4,Z(125)=2
Ptn-126 C: G(126)=4,Z(126)=1
Ptn-127 C: G(127)=4,Z(127)=1
Ptn-128 C: G(128)=4,Z(128)=1
Ptn-129 C: G(129)=4,Z(129)=1
Ptn-130 C: G(130)=4,Z(130)=1
Ptn-131 C: G(131)=4,Z(131)=1
Ptn-132 C: G(132)=4,Z(132)=3
Ptn-133 C: G(133)=4,Z(133)=3
Ptn-134 C: G(134)=4,Z(134)=3
Ptn-135 C: G(135)=4,Z(135)=3
Ptn-136 C: G(136)=4,Z(136)=3
Ptn-137 C: G(137)=4,Z(137)=3
Ptn-138 C: G(138)=4,Z(138)=2
Ptn-139 C: G(139)=4,Z(139)=2
Ptn-140 C: G(140)=4,Z(140)=2
Ptn-141 C: G(141)=4,Z(141)=2
Ptn-142 C: G(142)=4,Z(142)=2
Ptn-143 C: G(143)=4,Z(143)=2
Ptn-144 C: G(144)=4,Z(144)=2
Ptn-145 C: G(145)=4,Z(145)=2
Ptn-146 C: G(146)=4,Z(146)=2
Ptn-147 C: G(147)=4,Z(147)=2
Ptn-148 C: G(148)=4,Z(148)=2
Ptn-149 C: G(149)=0,Z(149)=3
Ptn-150 C: G(150)=0,Z(150)=3
Ptn-151 C: G(151)=0,Z(151)=3
Ptn-152 C: G(152)=0,Z(152)=3
Ptn-153 C: G(153)=0,Z(153)=3
Ptn-154 C: G(154)=4,Z(154)=1
Ptn-155 C: G(155)=4,Z(155)=1
Ptn-156 C: G(156)=4,Z(156)=1
Ptn-157 C: G(157)=2,Z(157)=1
Ptn-158 C: G(158)=2,Z(158)=1
Ptn-159 C: G(159)=2,Z(159)=1
Ptn-160 C: G(160)=2,Z(160)=1
Ptn-161 C: G(161)=2,Z(161)=1
Ptn-162 C: G(162)=2,Z(162)=1
Ptn-163 C: G(163)=2,Z(163)=1
Ptn-164 C: G(164)=2,Z(164)=1
Ptn-165 C: G(165)=2,Z(165)=1
Ptn-166 C: G(166)=2,Z(166)=1
Ptn-167 C: G(167)=1,Z(167)=1
Ptn-168 C: G(168)=1,Z(168)=1
Ptn-169 C: G(169)=1,Z(169)=2
Ptn-170 C: G(170)=1,Z(170)=2
Ptn-171 C: G(171)=1,Z(171)=2
Ptn-172 C: G(172)=1,Z(172)=2
Ptn-173 C: G(173)=1,Z(173)=2
Ptn-174 C: G(174)=1,Z(174)=3
Ptn-175 C: G(175)=0,Z(175)=3
Ptn-176 C: G(176)=0,Z(176)=3
Ptn-177 C: G(177)=0,Z(177)=3
Ptn-178 C: G(178)=2,Z(178)=3
Ptn-179 C: G(179)=2,Z(179)=3
Ptn-180 C: G(180)=2,Z(180)=3
Ptn-181 C: G(181)=2,Z(181)=3
Ptn-182 C: G(182)=2,Z(182)=3
Ptn-183 C: G(183)=2,Z(183)=3
Ptn-184 C: G(184)=2,Z(184)=3
Ptn-185 C: G(185)=2,Z(185)=3
Ptn-186 C: G(186)=2,Z(186)=3
Ptn-187 C: G(187)=2,Z(187)=3
Ptn-188 C: G(188)=2,Z(188)=3
Ptn-189 C: G(189)=2,Z(189)=3
Ptn-190 C: G(190)=2,Z(190)=3
Ptn-191 C: G(191)=2,Z(191)=3
Ptn-192 C: G(192)=2,Z(192)=3
Ptn-193 C: G(193)=2,Z(193)=3
Ptn-194 C: G(194)=2,Z(194)=3
Ptn-195 C: G(195)=2,Z(195)=3
Ptn-196 C: G(196)=2,Z(196)=3
Ptn-197 C: G(197)=2,Z(197)=3
Ptn-198 C: G(198)=4,Z(198)=3
Ptn-199 C: G(199)=4,Z(199)=3
Ptn-200 C: G(200)=4,Z(200)=3
Ptn-201 C: G(201)=4,Z(201)=3
Ptn-202 C: G(202)=4,Z(202)=3
Ptn-203 C: G(203)=4,Z(203)=1
Ptn-204 C: G(204)=4,Z(204)=1
Ptn-205 C: G(205)=4,Z(205)=1
Ptn-206 C: G(206)=4,Z(206)=1
Ptn-207 C: G(207)=4,Z(207)=1
Ptn-208 C: G(208)=4,Z(208)=1
Ptn-209 C: G(209)=4,Z(209)=1
Ptn-210 C: G(210)=4,Z(210)=1
Ptn-211 C: G(211)=4,Z(211)=1
Ptn-212 C: G(212)=4,Z(212)=1
Ptn-213 C: G(213)=4,Z(213)=1
Ptn-214 C: G(214)=4,Z(214)=1
Ptn-215 C: G(215)=4,Z(215)=1
Ptn-216 C: G(216)=4,Z(216)=3
Ptn-217 C: G(217)=4,Z(217)=3
Ptn-218 C: G(218)=4,Z(218)=3
Ptn-219 C: G(219)=4,Z(219)=3
Ptn-220 C: G(220)=4,Z(220)=3
Ptn-221 C: G(221)=4,Z(221)=3
Ptn-222 C: G(222)=4,Z(222)=3
Ptn-223 C: G(223)=4,Z(223)=3
Ptn-224 C: G(224)=4,Z(224)=3
Ptn-225 C: G(225)=4,Z(225)=3
Ptn-226 C: G(226)=4,Z(226)=3
Ptn-227 C: G(227)=4,Z(227)=4
Ptn-228 C: G(228)=4,Z(228)=4
Ptn-229 C: G(229)=4,Z(229)=4
Ptn-230 C: G(230)=2,Z(230)=4
Ptn-231 C: G(231)=2,Z(231)=4
Ptn-232 C: G(232)=2,Z(232)=4
Ptn-233 C: G(233)=2,Z(233)=4
Ptn-234 C: G(234)=2,Z(234)=4
Ptn-235 C: G(235)=2,Z(235)=4
Ptn-236 C: G(236)=2,Z(236)=4
Ptn-237 C: G(237)=2,Z(237)=4
Ptn-238 C: G(238)=2,Z(238)=4
Ptn-239 C: G(239)=2,Z(239)=4
Ptn-240 C: G(240)=2,Z(240)=4
Ptn-241 C: G(241)=2,Z(241)=4
Ptn-242 C: G(242)=2,Z(242)=4
Ptn-243 C: G(243)=2,Z(243)=4
Ptn-244 C: G(244)=2,Z(244)=4
Ptn-245 C: G(245)=2,Z(245)=4
Ptn-246 C: G(246)=2,Z(246)=4
Ptn-247 C: G(247)=2,Z(247)=4
Ptn-248 C: G(248)=2,Z(248)=4
Ptn-249 C: G(249)=2,Z(249)=4
Ptn-250 C: G(250)=2,Z(250)=4
Ptn-251 C: G(251)=2,Z(251)=4
Ptn-252 C: G(252)=2,Z(252)=4
Ptn-253 C: G(253)=2,Z(253)=4
Ptn-254 C: G(254)=1,Z(254)=4
Ptn-255 C: G(255)=1,Z(255)=4
Ptn-256 C: G(256)=1,Z(256)=2
Ptn-257 C: G(257)=1,Z(257)=2
Ptn-258 C: G(258)=1,Z(258)=2
Ptn-259 C: G(259)=1,Z(259)=2
Ptn-260 C: G(260)=1,Z(260)=2
Ptn-261 C: G(261)=1,Z(261)=2
Ptn-262 C: G(262)=1,Z(262)=2
Ptn-263 C: G(263)=1,Z(263)=2
Ptn-264 C: G(264)=1,Z(264)=2
Ptn-265 C: G(265)=1,Z(265)=2
Ptn-266 C: G(266)=1,Z(266)=2
Ptn-267 C: G(267)=1,Z(267)=2
Ptn-268 C: G(268)=1,Z(268)=3
Ptn-269 C: G(269)=1,Z(269)=3
Ptn-270 C: G(270)=4,Z(270)=3
Ptn-271 C: G(271)=4,Z(271)=3
Ptn-272 C: G(272)=4,Z(272)=3
Ptn-273 C: G(273)=4,Z(273)=3
Ptn-274 C: G(274)=4,Z(274)=3
Ptn-275 C: G(275)=4,Z(275)=3
Ptn-276 C: G(276)=4,Z(276)=3
Ptn-277 C: G(277)=4,Z(277)=3
Ptn-278 C: G(278)=4,Z(278)=1
Ptn-279 C: G(279)=4,Z(279)=1
Ptn-280 C: G(280)=4,Z(280)=1
Ptn-281 C: G(281)=4,Z(281)=1
Ptn-282 C: G(282)=4,Z(282)=1
Ptn-283 C: G(283)=4,Z(283)=1
Ptn-284 C: G(284)=4,Z(284)=1
Ptn-285 C: G(285)=4,Z(285)=1
Ptn-286 C: G(286)=4,Z(286)=1
Ptn-287 C: G(287)=3,Z(287)=1
Ptn-288 C: G(288)=2,Z(288)=3
Ptn-289 C: G(289)=2,Z(289)=3
Ptn-290 C: G(290)=2,Z(290)=3
Ptn-291 C: G(291)=2,Z(291)=3
Ptn-292 C: G(292)=2,Z(292)=3
Ptn-293 C: G(293)=2,Z(293)=3
Ptn-294 C: G(294)=2,Z(294)=3
Ptn-295 C: G(295)=2,Z(295)=3
Ptn-296 C: G(296)=2,Z(296)=3
Ptn-297 C: G(297)=2,Z(297)=3
Ptn-298 C: G(298)=2,Z(298)=3
Ptn-299 C: G(299)=2,Z(299)=3
Ptn-300 C: G(300)=10,Z(300)=3
Ptn-301 C: G(301)=10,Z(301)=3
Ptn-302 C: G(302)=10,Z(302)=3
Ptn-303 C: G(303)=4,Z(303)=3
Ptn-304 C: G(304)=4,Z(304)=3
Ptn-305 C: G(305)=4,Z(305)=3
Ptn-306 C: G(306)=4,Z(306)=3
Ptn-307 C: G(307)=4,Z(307)=3
Ptn-308 C: G(308)=4,Z(308)=2
Ptn-309 C: G(309)=4,Z(309)=2
Ptn-310 C: G(310)=4,Z(310)=2
Ptn-311 C: G(311)=4,Z(311)=3
Ptn-312 C: G(312)=4,Z(312)=3
Ptn-313 C: G(313)=4,Z(313)=3
Ptn-314 C: G(314)=4,Z(314)=0
Ptn-315 C: G(315)=4,Z(315)=2
Ptn-316 C: G(316)=4,Z(316)=2
Ptn-317 C: G(317)=4,Z(317)=3
Ptn-318 C: G(318)=4,Z(318)=3
Ptn-319 C: G(319)=4,Z(319)=3
Ptn-320 C: G(320)=4,Z(320)=3
Ptn-321 C: G(321)=4,Z(321)=3
Ptn-322 C: G(322)=4,Z(322)=3
Ptn-323 C: G(323)=4,Z(323)=3
Ptn-324 C: G(324)=4,Z(324)=1
Ptn-325 C: G(325)=4,Z(325)=1
Ptn-326 C: G(326)=10,Z(326)=1
Ptn-327 C: G(327)=10,Z(327)=1
Ptn-328 C: G(328)=4,Z(328)=1
Ptn-329 C: G(329)=4,Z(329)=1
Ptn-330 C: G(330)=4,Z(330)=1
Ptn-331 C: G(331)=4,Z(331)=1
Ptn-332 C: G(332)=4,Z(332)=1
Ptn-333 C: G(333)=4,Z(333)=1
Ptn-334 C: G(334)=4,Z(334)=1
Ptn-335 C: G(335)=4,Z(335)=1
Ptn-336 C: G(336)=4,Z(336)=1
Ptn-337 C: G(337)=4,Z(337)=1
Ptn-338 C: G(338)=4,Z(338)=1
Ptn-339 C: G(339)=4,Z(339)=1
Ptn-340 C: G(340)=4,Z(340)=1
Ptn-341 C: G(341)=4,Z(341)=1
Ptn-342 C: G(342)=4,Z(342)=2
Ptn-343 C: G(343)=4,Z(343)=2
Ptn-344 C: G(344)=4,Z(344)=2
Ptn-345 C: G(345)=4,Z(345)=2
Ptn-346 C: G(346)=4,Z(346)=2
Ptn-347 C: G(347)=4,Z(347)=2
Ptn-348 C: G(348)=4,Z(348)=2
Ptn-349 C: G(349)=4,Z(349)=2
Ptn-350 C: G(350)=4,Z(350)=2
Ptn-351 C: G(351)=4,Z(351)=2
Ptn-352 C: G(352)=4,Z(352)=2
Ptn-353 C: G(353)=4,Z(353)=2
Ptn-354 C: G(354)=4,Z(354)=2
Ptn-355 C: G(355)=4,Z(355)=2
Ptn-356 C: G(356)=4,Z(356)=2
Ptn-357 C: G(357)=4,Z(357)=2
Ptn-358 C: G(358)=4,Z(358)=2
Ptn-359 C: G(359)=4,Z(359)=2
Ptn-360 C: G(360)=4,Z(360)=1
Ptn-361 C: G(361)=4,Z(361)=1
Ptn-362 C: G(362)=4,Z(362)=1
Ptn-363 C: G(363)=4,Z(363)=1
Ptn-364 C: G(364)=4,Z(364)=1
Ptn-365 C: G(365)=4,Z(365)=2
Ptn-366 C: G(366)=4,Z(366)=2
Ptn-367 C: G(367)=4,Z(367)=2
Ptn-368 C: G(368)=4,Z(368)=2
Ptn-369 C: G(369)=4,Z(369)=2
Ptn-370 C: G(370)=4,Z(370)=1
Ptn-371 C: G(371)=4,Z(371)=1
Ptn-372 C: G(372)=4,Z(372)=1
Ptn-373 C: G(373)=2,Z(373)=1
Ptn-374 C: G(374)=2,Z(374)=1
Ptn-375 C: G(375)=2,Z(375)=1
Ptn-376 C: G(376)=2,Z(376)=1
Ptn-377 C: G(377)=2,Z(377)=1
Ptn-378 C: G(378)=2,Z(378)=1
Ptn-379 C: G(379)=4,Z(379)=1
Ptn-380 C: G(380)=4,Z(380)=1
Ptn-381 C: G(381)=4,Z(381)=1
Ptn-382 C: G(382)=3,Z(382)=1
Ptn-383 C: G(383)=4,Z(383)=4
Ptn-384 C: G(384)=4,Z(384)=4
Ptn-385 C: G(385)=4,Z(385)=4
Ptn-386 C: G(386)=4,Z(386)=4
Ptn-387 C: G(387)=4,Z(387)=4
Ptn-388 C: G(388)=4,Z(388)=4
Ptn-389 C: G(389)=4,Z(389)=4
Ptn-390 C: G(390)=4,Z(390)=4
Ptn-391 C: G(391)=4,Z(391)=4
Ptn-392 C: G(392)=2,Z(392)=4
Ptn-393 C: G(393)=2,Z(393)=4
Ptn-394 C: G(394)=2,Z(394)=4
Ptn-395 C: G(395)=2,Z(395)=4
Ptn-396 C: G(396)=2,Z(396)=4
Ptn-397 C: G(397)=4,Z(397)=4
Ptn-398 C: G(398)=4,Z(398)=4
Ptn-399 C: G(399)=4,Z(399)=4
Ptn-400 C: G(400)=4,Z(400)=4
Ptn-401 C: G(401)=4,Z(401)=4
Ptn-402 C: G(402)=4,Z(402)=4
Ptn-403 C: G(403)=4,Z(403)=4
Ptn-404 C: G(404)=2,Z(404)=4
Ptn-405 C: G(405)=2,Z(405)=0
Ptn-406 C: G(406)=2,Z(406)=0
Ptn-407 C: G(407)=2,Z(407)=0
Ptn-408 C: G(408)=2,Z(408)=0
Ptn-409 C: G(409)=2,Z(409)=0
Ptn-410 C: G(410)=2,Z(410)=0
Ptn-411 C: G(411)=2,Z(411)=0
Ptn-412 C: G(412)=2,Z(412)=0
Ptn-413 C: G(413)=3,Z(413)=0
Ptn-414 C: G(414)=3,Z(414)=0
Ptn-415 C: G(415)=3,Z(415)=0
Ptn-416 C: G(416)=3,Z(416)=0
Ptn-417 C: G(417)=2,Z(417)=0
Ptn-418 C: G(418)=2,Z(418)=0
Ptn-419 C: G(419)=2,Z(419)=0
Ptn-420 C: G(420)=3,Z(420)=0
Ptn-421 C: G(421)=3,Z(421)=0
Ptn-422 C: G(422)=2,Z(422)=0
Ptn-423 C: G(423)=2,Z(423)=0
Ptn-424 C: G(424)=2,Z(424)=0
Ptn-425 C: G(425)=2,Z(425)=0
Ptn-426 C: G(426)=2,Z(426)=0
Ptn-427 C: G(427)=2,Z(427)=0
Ptn-428 C: G(428)=2,Z(428)=0
Ptn-429 C: G(429)=2,Z(429)=0
Ptn-430 C: G(430)=2,Z(430)=0
Ptn-431 C: G(431)=3,Z(431)=0
Ptn-432 C: G(432)=3,Z(432)=0
Ptn-433 C: G(433)=3,Z(433)=0
Ptn-434 C: G(434)=2,Z(434)=1
Ptn-435 C: G(435)=1,Z(435)=1
Ptn-436 C: G(436)=1,Z(436)=1
Ptn-437 C: G(437)=1,Z(437)=4
Ptn-438 C: G(438)=1,Z(438)=4
Ptn-439 C: G(439)=1,Z(439)=4
Ptn-440 C: G(440)=1,Z(440)=4
Ptn-441 C: G(441)=3,Z(441)=0
Ptn-442 C: G(442)=3,Z(442)=0
Ptn-443 C: G(443)=3,Z(443)=0
Ptn-444 C: G(444)=3,Z(444)=0
Ptn-445 C: G(445)=3,Z(445)=0
Ptn-446 C: G(446)=3,Z(446)=0
Ptn-447 C: G(447)=3,Z(447)=1
Ptn-448 C: G(448)=3,Z(448)=1
Ptn-449 C: G(449)=3,Z(449)=2
Ptn-450 C: G(450)=3,Z(450)=0
Ptn-451 C: G(451)=3,Z(451)=2
Ptn-452 C: G(452)=3,Z(452)=2
Ptn-453 C: G(453)=3,Z(453)=1
Ptn-454 C: G(454)=3,Z(454)=1
Ptn-455 C: G(455)=3,Z(455)=1
Ptn-456 C: G(456)=3,Z(456)=1
Ptn-457 C: G(457)=3,Z(457)=1
Ptn-458 C: G(458)=3,Z(458)=1
Ptn-459 C: G(459)=3,Z(459)=1
Ptn-460 C: G(460)=3,Z(460)=1
Ptn-461 C: G(461)=3,Z(461)=1
Ptn-462 C: G(462)=3,Z(462)=0
Ptn-463 C: G(463)=1,Z(463)=0
Ptn-464 C: G(464)=1,Z(464)=0
Ptn-465 C: G(465)=3,Z(465)=0
Ptn-466 C: G(466)=3,Z(466)=0
Ptn-467 C: G(467)=3,Z(467)=0
Ptn-468 C: G(468)=1,Z(468)=0
Ptn-469 C: G(469)=1,Z(469)=0
Ptn-470 C: G(470)=1,Z(470)=0
Ptn-471 C: G(471)=1,Z(471)=0
Ptn-472 C: G(472)=1,Z(472)=0
Ptn-473 C: G(473)=1,Z(473)=0
Ptn-474 C: G(474)=1,Z(474)=0
Ptn-475 C: G(475)=1,Z(475)=0
Ptn-476 C: G(476)=1,Z(476)=0
Ptn-477 C: G(477)=1,Z(477)=0
Ptn-478 C: G(478)=1,Z(478)=0
Ptn-479 C: G(479)=1,Z(479)=0
Ptn-480 C: G(480)=1,Z(480)=0
Ptn-481 C: G(481)=1,Z(481)=0
Ptn-482 C: G(482)=1,Z(482)=0
Ptn-483 C: G(483)=1,Z(483)=0
Ptn-484 C: G(484)=1,Z(484)=0
Ptn-485 C: G(485)=1,Z(485)=0
Ptn-486 C: G(486)=1,Z(486)=0
Ptn-487 C: G(487)=1,Z(487)=0
Ptn-488 C: G(488)=1,Z(488)=0
Ptn-489 C: G(489)=1,Z(489)=0
Ptn-490 C: G(490)=3,Z(490)=0
Ptn-491 C: G(491)=1,Z(491)=0
Ptn-492 C: G(492)=1,Z(492)=0
Ptn-493 C: G(493)=1,Z(493)=0
Ptn-494 C: G(494)=1,Z(494)=0
Ptn-495 C: G(495)=1,Z(495)=0
Ptn-496 C: G(496)=3,Z(496)=0
Ptn-497 C: G(497)=1,Z(497)=0
Ptn-498 C: G(498)=1,Z(498)=0
Ptn-499 C: G(499)=1,Z(499)=0
Ptn-500 C: G(500)=1,Z(500)=0
Ptn-501 C: G(501)=1,Z(501)=0
Ptn-502 C: G(502)=1,Z(502)=0
Ptn-503 C: G(503)=1,Z(503)=0
Ptn-504 C: G(504)=3,Z(504)=0
Ptn-505 C: G(505)=3,Z(505)=0
Ptn-506 C: G(506)=1,Z(506)=0
Ptn-507 C: G(507)=1,Z(507)=0
Ptn-508 C: G(508)=1,Z(508)=0
Ptn-509 C: G(509)=1,Z(509)=0
Ptn-510 C: G(510)=1,Z(510)=0
Ptn-511 C: G(511)=1,Z(511)=0
Ptn-512 C: G(512)=1,Z(512)=0
Ptn-513 C: G(513)=1,Z(513)=0
Ptn-514 C: G(514)=1,Z(514)=0
Ptn-515 C: G(515)=1,Z(515)=0
Ptn-516 C: G(516)=1,Z(516)=0
Ptn-517 C: G(517)=3,Z(517)=0
Ptn-518 C: G(518)=1,Z(518)=0
Ptn-519 C: G(519)=1,Z(519)=0
Ptn-520 C: G(520)=1,Z(520)=1
Ptn-521 C: G(521)=1,Z(521)=1
Ptn-522 C: G(522)=1,Z(522)=1
Ptn-523 C: G(523)=1,Z(523)=0
Ptn-524 C: G(524)=1,Z(524)=0
Ptn-525 C: G(525)=1,Z(525)=1
Ptn-526 C: G(526)=1,Z(526)=1
Ptn-527 C: G(527)=1,Z(527)=0
Ptn-528 C: G(528)=1,Z(528)=0
Ptn-529 C: G(529)=1,Z(529)=0
Ptn-530 C: G(530)=1,Z(530)=0
Ptn-531 C: G(531)=1,Z(531)=0
Ptn-532 C: G(532)=1,Z(532)=0
Ptn-533 C: G(533)=1,Z(533)=1
Ptn-534 C: G(534)=1,Z(534)=1
Ptn-535 C: G(535)=1,Z(535)=0
Ptn-536 C: G(536)=1,Z(536)=0
Ptn-537 C: G(537)=1,Z(537)=0
Ptn-538 C: G(538)=1,Z(538)=1
Ptn-539 C: G(539)=1,Z(539)=1
Ptn-540 C: G(540)=1,Z(540)=0
Ptn-541 C: G(541)=1,Z(541)=0
Ptn-542 C: G(542)=1,Z(542)=0
Ptn-543 C: G(543)=1,Z(543)=0
Ptn-544 C: G(544)=1,Z(544)=0
Ptn-545 C: G(545)=3,Z(545)=0
Ptn-546 C: G(546)=3,Z(546)=0
Ptn-547 C: G(547)=3,Z(547)=0
Ptn-548 C: G(548)=1,Z(548)=1
Ptn-549 C: G(549)=1,Z(549)=1
Ptn-550 C: G(550)=1,Z(550)=0
Ptn-551 C: G(551)=1,Z(551)=0
Ptn-552 C: G(552)=1,Z(552)=0
Ptn-553 C: G(553)=1,Z(553)=0
Ptn-554 C: G(554)=1,Z(554)=0
Ptn-555 C: G(555)=1,Z(555)=0
Ptn-556 C: G(556)=1,Z(556)=0
Ptn-557 C: G(557)=1,Z(557)=1
Ptn-558 C: G(558)=1,Z(558)=1
Ptn-559 C: G(559)=1,Z(559)=1
Ptn-560 C: G(560)=1,Z(560)=1
Ptn-561 C: G(561)=1,Z(561)=1
Ptn-562 C: G(562)=1,Z(562)=0
Ptn-563 C: G(563)=1,Z(563)=0
Ptn-564 C: G(564)=1,Z(564)=0
Ptn-565 C: G(565)=1,Z(565)=1
Ptn-566 C: G(566)=1,Z(566)=1
Ptn-567 C: G(567)=1,Z(567)=0
Ptn-568 C: G(568)=1,Z(568)=0
Ptn-569 C: G(569)=1,Z(569)=1
Ptn-570 C: G(570)=1,Z(570)=1
Ptn-571 C: G(571)=1,Z(571)=1
Ptn-572 C: G(572)=1,Z(572)=1
Ptn-573 C: G(573)=1,Z(573)=0
Ptn-574 C: G(574)=1,Z(574)=1
Ptn-575 C: G(575)=1,Z(575)=0
Ptn-576 C: G(576)=1,Z(576)=0
